Keyword,Gap Type,Your Position,Traffic Potential,Volume,Keyword Difficulty,CPC ($),Intent,Parent Topic,# Competitors,Competitors Targeting,Top Competitor URL,Competitor Page Traffic,Historical Priority,Current Publication Decision
what is ipl,Content gap,Not ranking,12000,2400,22,0.0,informational,ipl treatment,1,suncoastskin.com,https://www.suncoastskin.com/what-is-ipl-treatment/,4,High,No automatic page - verify current commerce truth and documented page type
ipl laser,Content gap,Not ranking,11000,13000,3,1.6,"informational,commercial,transactional",ipl laser,1,suncoastskin.com,https://www.suncoastskin.com/what-is-ipl-treatment,0,High,No automatic page - verify current commerce truth and documented page type
hypertrophic scar,Content gap,Not ranking,9400,29000,26,0.08,informational,hypertrophic scar,1,suncoastskin.com,https://www.suncoastskin.com/treatment-options-for-hypertrophic-scars/,272,High,No automatic page - verify current commerce truth and documented page type
why do i have marionette lines,Content gap,Not ranking,6600,80,4,0.0,informational,marionette lines,1,elase.com,https://elase.com/blog/how-to-get-rid-of-marionette-lines/,3,High,No automatic page - verify current commerce truth and documented page type
sunspot on skin,Content gap,Not ranking,6600,600,29,0.7,informational,sun spots on skin,1,suncoastskin.com,https://www.suncoastskin.com/cosmetic-dermatology/sunspots/,1,High,No automatic page - verify current commerce truth and documented page type
excess melanin,Content gap,Not ranking,6300,90,39,0.06,informational,hyperpigmentation,1,suncoastskin.com,https://www.suncoastskin.com/combating-hyperpigmentation/,5,High,No automatic page - verify current commerce truth and documented page type
microneedling aftercare,Content gap,Not ranking,5900,4000,2,0.03,informational,microneedling aftercare,1,elase.com,https://elase.com/blog/rf-microneedling-aftercare/,4,High,No automatic page - verify current commerce truth and documented page type
smile lines,Content gap,Not ranking,4700,27000,6,0.7,"informational,commercial",smile lines,1,elase.com,https://elase.com/blog/how-to-get-rid-of-smile-lines/,432,High,No automatic page - verify current commerce truth and documented page type
is cryotherapy safe,Content gap,Not ranking,4600,500,28,0.03,informational,cryotherapy benefits,1,suncoastskin.com,https://www.suncoastskin.com/cryotherapy-pros-and-cons-2/,147,High,No automatic page - verify current commerce truth and documented page type
stretch marks treatment,Content gap,Not ranking,3800,1600,30,0.5,"informational,commercial",stretch marks treatment,1,suncoastskin.com,https://www.suncoastskin.com/treatment-of-stretch-marks/,0,High,No automatic page - verify current commerce truth and documented page type
laser tattoo removal before and after,Content gap,Not ranking,3100,3400,0,2.5,"informational,commercial",tattoo removal before and after,1,suncoastskin.com,https://www.suncoastskin.com/your-comprehensive-guide-to-laser-tattoo-removal/,0,High,No automatic page - verify current commerce truth and documented page type
dissolving lip filler stages,Content gap,Not ranking,2900,450,0,13.0,informational,dissolving lip filler,1,elase.com,https://elase.com/blog/dissolving-lip-filler-recovery-timeline/,65,High,No automatic page - verify current commerce truth and documented page type
face peel cost,Content gap,Not ranking,2700,80,1,0.8,"informational,commercial",how much is a chemical peel,1,elase.com,https://elase.com/blog/chemical-peel-cost/,12,High,No automatic page - verify current commerce truth and documented page type
laser hair removal vs electrolysis,Content gap,Not ranking,2000,1000,2,0.1,"informational,commercial",electrolysis vs laser hair removal,1,suncoastskin.com,https://www.suncoastskin.com/laser-hair-removal-vs-electrolysis-which-one-is-better/,161,High,No automatic page - verify current commerce truth and documented page type
non invasive bbl,Content gap,Not ranking,1700,1000,0,1.3,"informational,commercial",non invasive bbl,1,elase.com,https://elase.com/blog/non-surgical-bbl/,17,High,No automatic page - verify current commerce truth and documented page type
collagen stimulation,Content gap,Not ranking,1500,700,7,0.9,"informational,commercial",how to increase collagen production,1,suncoastskin.com,https://www.suncoastskin.com/what-is-collagen-stimulation-therapy/,49,High,No automatic page - verify current commerce truth and documented page type
chemical peel recovery,Content gap,Not ranking,1500,200,30,0.03,informational,how long does a chemical peel take to heal,1,elase.com,https://elase.com/blog/chemical-peel-aftercare/,0,High,No automatic page - verify current commerce truth and documented page type
how much does a chemical peel cost,Content gap,Not ranking,1300,900,0,0.8,"informational,commercial",chemical peel cost,1,elase.com,https://elase.com/Blog,8,High,No automatic page - verify current commerce truth and documented page type
best skin care products for 20s,Content gap,Not ranking,700,100,1,0.7,"informational,commercial",skincare routine for 20 year old,1,suncoastskin.com,https://www.suncoastskin.com/skincare-treatment-in-your-20s-30s-and-40s/,5,High,No automatic page - verify current commerce truth and documented page type
why did people used to look older,Content gap,Not ranking,700,250,4,0.0,informational,why did people look older in the past,1,suncoastskin.com,https://www.suncoastskin.com/wrinkles-aging-vs-poor-lifestyle-choices/,0,High,No automatic page - verify current commerce truth and documented page type
does at home laser hair removal work,Content gap,Not ranking,700,450,14,0.9,"informational,commercial",does at home laser hair removal work,1,elase.com,https://elase.com/blog/do-at-home-laser-hair-removal-systems-work/,0,High,No automatic page - verify current commerce truth and documented page type
anti aging facial treatment,Content gap,Not ranking,700,200,17,1.7,"informational,commercial,transactional,local",anti aging facial treatment,1,suncoastskin.com,https://www.suncoastskin.com/anti-aging-facial-restoring-the-youthful-glow-to-your-face/,17,High,No automatic page - verify current commerce truth and documented page type
how much is laser hair removal for legs,Content gap,Not ranking,500,500,12,2.5,"informational,commercial",how much is laser hair removal for legs,1,elase.com,https://elase.com/blog/laser-hair-removal-cost/,0,High,No automatic page - verify current commerce truth and documented page type
what is melasma,Content gap,Not ranking,26000,9100,45,0.06,informational,melasma,1,suncoastskin.com,https://www.suncoastskin.com/melasma-causes-symptoms-and-treatment-options/,675,Medium,No automatic page - verify current commerce truth and documented page type
does rosacea go away,Content gap,Not ranking,25000,600,59,0.04,informational,rosacea,1,suncoastskin.com,https://www.suncoastskin.com/does-rosacea-ever-go-away/,24,Medium,No automatic page - verify current commerce truth and documented page type
dry skin treatment,Content gap,Not ranking,22000,11000,59,0.45,"informational,commercial",dry skin on face,1,suncoastskin.com,https://www.suncoastskin.com/5-ways-to-treat-dry-skin/,231,Medium,No automatic page - verify current commerce truth and documented page type
skin tightness,Content gap,Not ranking,16000,100,42,0.0,"informational,commercial","""body skin tightening",1,suncoastskin.com,https://www.suncoastskin.com/understanding-skin-tightening-procedures/,0,Medium,No automatic page - verify current commerce truth and documented page type
benefits of dermal fillers,Content gap,Not ranking,13000,50,51,1.2,informational,dermal fillers,1,suncoastskin.com,https://www.suncoastskin.com/dermal-fillers-explained-what-are-the-benefits-you-can-gain-from-them/,0,Medium,No automatic page - verify current commerce truth and documented page type
laser hair removal pros and cons,Content gap,Not ranking,7300,250,40,0.15,"informational,commercial",how does laser hair removal work,1,suncoastskin.com,https://www.suncoastskin.com/waxing-vs-laser-hair-removal-pros-and-cons/,8,Medium,No automatic page - verify current commerce truth and documented page type
anti ageing treatment,Content gap,Not ranking,1600,600,54,0.35,"informational,commercial",anti-aging treatment,1,suncoastskin.com,https://www.suncoastskin.com/anti-aging-treatments-what-really-works/,1,Medium,No automatic page - verify current commerce truth and documented page type
tattoo after laser removal,Content gap,Not ranking,400,150,1,0.5,informational,laser tattoo removal,1,suncoastskin.com,https://www.suncoastskin.com/the-dos-and-donts-of-laser-tattoo-removal/,66,Medium,No automatic page - verify current commerce truth and documented page type
winter skin,Content gap,Not ranking,400,250,6,0.3,"informational,commercial",how to keep skin hydrated in winter,1,elase.com,https://elase.com/blog/dry-skin-in-winter/,0,Medium,No automatic page - verify current commerce truth and documented page type
acoustic wave therapy cellulite,Content gap,Not ranking,350,450,0,0.7,"informational,commercial",acoustic wave therapy cellulite,1,suncoastskin.com,https://www.suncoastskin.com/acoustic-wave-cellulite-treatment/,71,Medium,No automatic page - verify current commerce truth and documented page type
pamper yourself,Content gap,Not ranking,350,600,2,0.2,informational,pamper yourself,1,elase.com,https://elase.com/blog/ways-to-pamper-yourself/,1,Medium,No automatic page - verify current commerce truth and documented page type
medspa charlotte,Content gap,Not ranking,250,150,37,2.5,"informational,commercial,transactional,local",eden med spa,1,elase.com,https://elase.com/locations/southpark/,17,Medium,No automatic page - verify current commerce truth and documented page type
how much does subcision cost,Content gap,Not ranking,200,70,0,2.5,"informational,commercial,local",subcision cost,1,suncoastskin.com,https://www.suncoastskin.com/what-is-subcision-and-who-needs-this-treatment/,18,Medium,No automatic page - verify current commerce truth and documented page type
how often should you get a skin check,Content gap,Not ranking,200,50,0,0.0,informational,annual skin screening,1,suncoastskin.com,https://www.suncoastskin.com/how-often-should-you-get-a-skin-cancer-screening/,12,Medium,No automatic page - verify current commerce truth and documented page type
skin whitening foods,Content gap,Not ranking,200,500,8,0.03,informational,skin whitening foods,1,suncoastskin.com,https://www.suncoastskin.com/foods-for-a-radiant-complexion-the-impact-of-diet-on-skin-health/,102,Medium,No automatic page - verify current commerce truth and documented page type
pearl kwong,Content gap,Not ranking,150,200,0,1.6,"informational,local",pearl kwong,1,suncoastskin.com,https://www.suncoastskin.com/providers/pearl-c-kwong-md-phd/,136,Medium,No automatic page - verify current commerce truth and documented page type
rf microneedling day by day,Content gap,Not ranking,150,500,0,0.04,informational,rf microneedling day by day,1,elase.com,https://elase.com/blog/what-to-expect-after-rf-microneedling/,9,Medium,No automatic page - verify current commerce truth and documented page type
laser hair removal nearby,Content gap,Not ranking,150,300,1,4.5,"informational,commercial,transactional,local",laser hair removal clinics,1,elase.com,https://elase.com/locations/laser-hair-removal-salt-lake-city-ut/,33,Medium,No automatic page - verify current commerce truth and documented page type
does microneedling tighten skin,Content gap,Not ranking,150,900,11,0.04,informational,microneedling to tighten skin,1,elase.com,https://elase.com/blog/rf-microneedling-the-secret-to-tighter-skin/,1,Medium,No automatic page - verify current commerce truth and documented page type
medspa florida,Content gap,Not ranking,150,60,57,2.0,"informational,commercial,transactional,local",med spa pensacola,1,elase.com,https://elase.com/locations/florida/,1,Medium,No automatic page - verify current commerce truth and documented page type
dr delozier,Content gap,Not ranking,100,90,0,1.7,"informational,commercial,local,navigational",delozier plastic surgery,1,suncoastskin.com,https://www.suncoastskin.com/providers/whitney-delozier-md/,12,Medium,No automatic page - verify current commerce truth and documented page type
laser hair removal before and after legs,Content gap,Not ranking,100,100,0,8.0,"informational,commercial",laser hair removal legs before and after,1,suncoastskin.com,https://www.suncoastskin.com/the-benefits-of-laser-hair-removal/,0,Medium,No automatic page - verify current commerce truth and documented page type
lip augmentation sarasota,Content gap,Not ranking,100,100,0,2.5,"informational,commercial,transactional,local",lip filler sarasota,1,elase.com,https://elase.com/locations/lip-fillers-sarasota-fl/,43,Medium,No automatic page - verify current commerce truth and documented page type
lip filler for gummy smile,Content gap,Not ranking,100,350,0,2.5,"informational,commercial",lip filler for gummy smile,1,elase.com,https://elase.com/blog/how-to-fix-a-gummy-smile/,16,Medium,No automatic page - verify current commerce truth and documented page type
cancer skin discoloration,Content gap,Not ranking,146000,900,66,1.3,informational,what does skin cancer look like,1,suncoastskin.com,https://www.suncoastskin.com/what-skin-cancer-looks-like/,9,Low,No automatic page - verify current commerce truth and documented page type
dermal filler treatment,Content gap,Not ranking,4700,600,73,1.1,"informational,commercial",fillers,1,suncoastskin.com,https://www.suncoastskin.com/everything-you-need-to-know-about-dermal-fillers/,19,Low,No automatic page - verify current commerce truth and documented page type
neurotoxins injections,Content gap,Not ranking,2900,100,61,0.0,"informational,commercial",neurotoxin injections,1,elase.com,https://elase.com/blog/what-are-neurotoxins/,4,Low,No automatic page - verify current commerce truth and documented page type
can you get a chemical peel while breastfeeding,Content gap,Not ranking,90,100,0,0.0,informational,can you get a chemical peel while breastfeeding,1,suncoastskin.com,https://www.suncoastskin.com/5-lactation-safe-cosmetic-treatments/,51,Low,No automatic page - verify current commerce truth and documented page type
dr mary anderson,Content gap,Not ranking,90,200,0,0.2,"informational,local",dr mary anderson,1,suncoastskin.com,https://www.suncoastskin.com/providers/dr-mary-anderson-m-d-d-faad/,50,Low,No automatic page - verify current commerce truth and documented page type
dr. bernhardt,Content gap,Not ranking,80,70,0,0.0,"informational,local",dr. bernhardt,1,suncoastskin.com,https://www.suncoastskin.com/providers/michael-bernhardt-md/,10,Low,No automatic page - verify current commerce truth and documented page type
is humidity good for skin,Content gap,Not ranking,80,600,1,0.03,informational,is humidity good for skin,1,elase.com,https://elase.com/blog/is-humidity-good-for-skin/,223,Low,No automatic page - verify current commerce truth and documented page type
rubeosis faciei,Content gap,Not ranking,70,200,0,0.0,informational,rubeosis faciei,1,suncoastskin.com,https://www.suncoastskin.com/diabetes-skin-disorders/,4,Low,No automatic page - verify current commerce truth and documented page type
medical grade cleanser,Content gap,Not ranking,60,200,0,0.0,"informational,commercial,transactional",medical grade cleanser,1,elase.com,https://elase.com/blog/medical-grade-cleansers-for-your-skin-type/,6,Low,No automatic page - verify current commerce truth and documented page type
dr stephen lockwood,Content gap,Not ranking,50,90,0,0.0,"informational,local",dr stephen lockwood,1,suncoastskin.com,https://www.suncoastskin.com/providers/stephen-lockwood-md/,65,Low,No automatic page - verify current commerce truth and documented page type
dr brooke baldwin,Content gap,Not ranking,50,150,0,0.0,informational,dr brooke baldwin,1,suncoastskin.com,https://www.suncoastskin.com/providers/brooke-baldwin-md/,64,Low,No automatic page - verify current commerce truth and documented page type
fillers are generally chosen to:,Content gap,Not ranking,50,150,0,0.0,informational,fillers are generally chosen to,1,suncoastskin.com,https://www.suncoastskin.com/everything-you-need-to-know-about-dermal-fillers-2/,12,Low,No automatic page - verify current commerce truth and documented page type
christina dai md,Content gap,Not ranking,50,60,0,0.0,"informational,local",christina dai md,1,suncoastskin.com,https://www.suncoastskin.com/why-see-a-board-certified-dermatologist/,0,Low,No automatic page - verify current commerce truth and documented page type
jared wishik,Content gap,Not ranking,40,90,0,1.6,"informational,local",jared wishik,1,suncoastskin.com,https://www.suncoastskin.com/providers/jared-wishik-md/,33,Low,No automatic page - verify current commerce truth and documented page type
dr styperek,Content gap,Not ranking,40,100,0,1.1,"informational,local",dr styperek,1,suncoastskin.com,https://www.suncoastskin.com/providers/andrew-styperek-md/,14,Low,No automatic page - verify current commerce truth and documented page type
mike damico,Content gap,Not ranking,40,50,9,0.0,informational,mike d'amico,1,elase.com,https://elase.com/providers/mike-damico/,1,Low,No automatic page - verify current commerce truth and documented page type
aaron sookhoo,Content gap,Not ranking,30,80,0,0.0,informational,aaron sookhoo,1,suncoastskin.com,https://www.suncoastskin.com/providers/aaron-sookhoo-pa-c/,37,Low,No automatic page - verify current commerce truth and documented page type
dr christopher ballard,Content gap,Not ranking,30,80,0,0.0,"informational,local",dr christopher ballard,1,suncoastskin.com,https://www.suncoastskin.com/providers/christopher-ballard-md/,26,Low,No automatic page - verify current commerce truth and documented page type
dr rebecca tung,Content gap,Not ranking,30,40,0,0.0,"informational,local",dr rebecca tung,1,suncoastskin.com,https://www.suncoastskin.com/providers/rebecca-tung/,7,Low,No automatic page - verify current commerce truth and documented page type
dr. freedman,Content gap,Not ranking,30,50,3,0.5,"informational,local",susan friedman,1,suncoastskin.com,https://www.suncoastskin.com/providers/jeremy-freedman-m-d/,1,Low,No automatic page - verify current commerce truth and documented page type
sultan mirza md,Content gap,Not ranking,20,60,0,0.0,"informational,local",sultan mirza md,1,suncoastskin.com,https://www.suncoastskin.com/providers/sultan-mirza-md-faad-facms/,17,Low,No automatic page - verify current commerce truth and documented page type
amy goetz,Content gap,Not ranking,20,60,0,0.0,informational,amy goetz,1,suncoastskin.com,https://www.suncoastskin.com/providers/amy-goetz-pa-c/,15,Low,No automatic page - verify current commerce truth and documented page type
what does one syringe of filler look like,Content gap,Not ranking,20,30,0,0.0,"informational,commercial",1 syringe of filler,1,elase.com,https://elase.com/blog/how-much-filler-in-one-syringe/,15,Low,No automatic page - verify current commerce truth and documented page type
heather crawford,Content gap,Not ranking,20,150,1,0.09,informational,heather crawford,1,suncoastskin.com,https://www.suncoastskin.com/providers/heather-crawford-pa-c/,1,Low,No automatic page - verify current commerce truth and documented page type
alexis franco,Content gap,Not ranking,10,150,0,0.0,informational,alexis franco,1,suncoastskin.com,https://www.suncoastskin.com/providers/alexis-franco-pa-c/,89,Low,No automatic page - verify current commerce truth and documented page type
viba malaiyandi,Content gap,Not ranking,10,50,0,0.0,informational,viba malaiyandi,1,suncoastskin.com,https://www.suncoastskin.com/providers/dr-viba-malaiyandi/,35,Low,No automatic page - verify current commerce truth and documented page type
dr maria cooper,Content gap,Not ranking,10,40,0,0.35,"informational,local",dr maria cooper,1,suncoastskin.com,https://www.suncoastskin.com/providers/markiza-cooper-md/,19,Low,No automatic page - verify current commerce truth and documented page type
jessica bussey,Content gap,Not ranking,10,70,0,0.0,"informational,local",jessica bussey,1,suncoastskin.com,https://www.suncoastskin.com/providers/jessica-bussey-pa-c/,12,Low,No automatic page - verify current commerce truth and documented page type
eric moreno,Content gap,Not ranking,0,150,0,0.06,informational,dr moreno brooksville,1,suncoastskin.com,https://www.suncoastskin.com/providers/eric-moreno-pa-c/,29,Low,No automatic page - verify current commerce truth and documented page type
barbara acosta,Content gap,Not ranking,0,70,0,0.4,informational,barbara acosta,1,suncoastskin.com,https://www.suncoastskin.com/providers/barbara-acosta-mc-msc-pa-c/,18,Low,No automatic page - verify current commerce truth and documented page type
dr massullo,Content gap,Not ranking,0,50,0,0.0,"informational,local",dr massullo,1,suncoastskin.com,https://www.suncoastskin.com/dermatology-online-2/,4,Low,No automatic page - verify current commerce truth and documented page type
lip injectors near me,Content gap,Not ranking,0,150,0,2.0,"informational,commercial,local",fillers utah,1,elase.com,https://elase.com/locations/lip-fillers-salt-lake-city/,38,Low,No automatic page - verify current commerce truth and documented page type
jennifer cash,Content gap,Not ranking,0,70,0,0.01,informational,jennifer cash,1,elase.com,https://elase.com/providers/jennifer-cash/,4,Low,No automatic page - verify current commerce truth and documented page type
chelsea foster,Content gap,Not ranking,0,100,0,0.0,informational,chelsea foster,1,elase.com,https://elase.com/providers/chelsea-foster/,2,Low,No automatic page - verify current commerce truth and documented page type
