"Issue Name","Issue Type","Issue Priority","Current","Previous","Change","Change %","Added","New","Removed","Missing","Description","How To Fix","Help URL"
"PageSpeed: Network Dependency Tree","Opportunity","Medium","277","0","277","100.000","252","25","0","0","Pages with a lot of latency on the critical path, caused by long chains and large resource download sizes. Additionally, pages with key requests that aren't yet prioritising fetch requests with link rel=preconnect to establish early connections to important third-party origins. Bulk export the pages and resources via 'Reports > PageSpeed > Network Dependency Tree' and selecting the appropriate report.","Avoid chaining critical requests by reducing the length of chains, reducing the download size of resources, or deferring the download of unnecessary resources to improve page load. Consider adding preconnect or dns-prefetch resource hints to establish early connections to important third-party origins. In general, try to use <link rel=""preload"">, as it's a more comprehensive performance tweak.",""
"Meta Description: Over 155 Characters","Opportunity","Low","22","17","5","29.412","2","9","4","2","Pages which have meta descriptions over the configured limit. Characters over this limit might be truncated in Google's search results.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",""
"Content: Readability Difficult","Opportunity","Low","87","7","80","1142.857","80","4","4","0","Copy on the page is difficult to read and best understood by college graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"Security: Missing X-Frame-Options Header","Warning","Low","321","306","15","4.902","4","35","0","24","URLs missing an X-Frame-Options response header with a 'DENY' or 'SAMEORIGIN' value. This instructs the browser not to render a page within a frame, iframe, embed or object. This helps avoid 'clickjacking' attacks, where your content is displayed on another web page that is controlled by an attacker.","To minimise security issues, the X-Frame-Options response header should be supplied with a 'DENY' or 'SAMEORIGIN' value.",""
"Meta Description: Below 70 Characters","Opportunity","Low","94","95","-1","-1.053","0","0","0","1","Pages which have meta descriptions below the configured limit. This isn't strictly an issue, but an opportunity. There is additional room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"Meta Description: Below 400 Pixels","Opportunity","Low","90","90","0","0.000","0","0","0","0","Pages which have meta descriptions much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"Images: Missing Size Attributes","Opportunity","Low","8","8","0","0.000","1","0","0","1","Image elements without dimensions (width and height size attributes) specified in the HTML. This can cause large layout shifts as the page loads and be frustrating experience for users. It is one of the major reasons that contributes to a high Cumulative Layout Shift (CLS).","Define all image sizes as their native size using width and height attributes in the HTML. This allows the browser to calculate enough space for each image before it loads, avoiding large layout shifts.",""
"H2: Duplicate","Opportunity","Low","208","209","-1","-0.478","1","17","3","16","Pages which have duplicate <h2>s. It's important to have distinct, unique and useful pages. If every page has the same <h2>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h2>s as necessary, so important pages contain a unique and descriptive <h2> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"PageSpeed: Render Blocking Requests","Opportunity","Medium","277","0","277","100.000","252","25","0","0","Pages with resources that are blocking the first paint of the page. Lighthouse flags pages which have scripts that do not have defer or async attributes, and stylesheets without a disabled attribute, or media attribute that matches the device. Bulk export the pages and resources via 'Reports > PageSpeed > Render Blocking Requests'.","Reduce the impact of render-blocking URLs by inlining critical resources, deferring non-critical resources, and removing anything unused.",""
"Meta Description: Duplicate","Opportunity","Low","14","16","-2","-12.500","0","0","1","1","Pages which have duplicate meta descriptions. It's really important to have distinct and unique meta descriptions that communicate the benefits and purpose of each page. If they are duplicate or irrelevant, then they will be ignored by search engines in their snippets.","Update duplicate meta descriptions as necessary, so important pages contain a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"PageSpeed: Legacy JavaScript","Opportunity","Medium","277","0","277","100.000","252","25","0","0","Pages with legacy JavaScript. Polyfills and transforms enable legacy browsers to use new JavaScript features. However, many aren't necessary for modern browsers. Bulk export the pages and JS via 'Reports > PageSpeed > Legacy JavaScript'.","For your bundled JavaScript, adopt a modern script deployment strategy using module/nomodule feature detection to reduce the amount of code shipped to modern browsers, while retaining support for legacy browsers.",""
"H2: Over 70 Characters","Opportunity","Low","3","3","0","0.000","0","0","0","0","Pages which have <h2>s over the configured limit. There is no hard limit for characters in an <h2>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h2>s for users, including target keywords where natural for users - without keyword stuffing.",""
"PageSpeed: Improve Image Delivery","Opportunity","Medium","277","0","277","100.000","252","25","0","0","Pages where the download time of images can be reduced, improving the perceived load time of the page and Largest Contentful Paint (LCP). Bulk export the pages and images via 'Reports > PageSpeed > Improve Image Delivery'.","Optimise images using compression to reduce file size and so that the page loads faster. Use responsive images to reduce the image download size. Consider encoding JPEG and PNG images into new formats such as WebP which allow for greater compression to enable them to load faster and consume less data. Consider using MPEG4/WebM videos for animations and PNG/WebP for static images instead of GIF to save network bytes.",""
"Security: Missing X-Content-Type-Options Header","Warning","Low","1","0","1","100.000","0","1","0","0","URLs that are missing the 'X-Content-Type-Options' response header with a 'nosniff' value. In the absence of a MIME type, browsers may 'sniff' to guess the content type to interpret it correctly for users. However, this can be exploited by attackers who can try and load malicious code, such as JavaScript via an image they have compromised.","To minimise security issues, the X-Content-Type-Options response header should be supplied and set to 'nosniff'. This instructs browsers to rely only on the Content-Type header and block anything that does not match accurately. This also means the content-type set needs to be accurate.",""
"Directives: Noindex","Warning","High","1","1","0","0.000","0","0","0","0","URLs containing a 'noindex' directive in either a robots meta tag or X-Robots-Tag in the HTTP header. This instructs the search engines not to index the page. The page will still be crawled (to see the directive), but it will then be dropped from the index.","URLs with a 'noindex' should be reviewed carefully to ensure they are correct and shouldn't be indexed. If these pages should be indexed, then the 'noindex' directive should be removed.",""
"PageSpeed: Reduce Unused JavaScript","Opportunity","Medium","191","0","191","100.000","190","1","0","0","Pages with unused JavaScript that are larger than necessary in bytes and reducing page speed. Bulk export the pages and JavaScript via 'Reports > PageSpeed > Reduce Unused JavaScript'.","Remove unused JavaScript code to reduce unnecessary bytes consumed by network activity to improve page load performance.",""
"Security: Missing Content-Security-Policy Header","Warning","Low","1","0","1","100.000","0","1","0","0","URLs that are missing the Content-Security-Policy response header. This header allows a website to control which resources are loaded for a page. This policy can help guard against cross-site scripting (XSS) attacks that exploit the browser's trust of the content received from the server. The SEO Spider only checks for existence of the header, and does not interrogate the policies found within the header to determine whether they are well set-up for the website. This should be performed manually.","Set a strict Content-Security-Policy response header across all page to help mitigate cross site scripting (XSS) and data injection attacks.",""
"Response Codes: Internal Client Error (4xx)","Issue","High","0","4","-4","-100.000","0","0","4","0","Internal URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as a 404 or 410 should be updated to their correct locations, removed and redirected where appropriate. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent' and crawling again.",""
"Page Titles: Duplicate","Opportunity","Medium","0","4","-4","-100.000","0","0","2","2","Pages which have duplicate page titles. It's really important to have distinct and unique page titles for every page. If every page has the same page title, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate page titles as necessary, so each page contains a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
